mode,Q_TOTAL,HORIZON_SEC,filled_qty,vwap_exec,vwap_mid,slippage_vs_mid,cross_seconds,passive_seconds
baseline,5.0,1800,4.999999999999856,9134.405833333336,9134.656944444449,-0.25111111111255013,0,1800
factor,5.0,1800,4.999999999999856,9134.508333333337,9134.656944444449,-0.14861111111167702,362,1438
